# ANALYSISTO-1282
# Updated based on ANALYSISTO-1299
# ttbar dilepton top-quark mass variations
601673 87.824 1.13826 pythia8
601674 83.208 1.13800 pythia8
# tW dilepton top-qaurk mass variations
601675 4.2617 1.10216 pythia8
601676 4.2652 1.10216 pythia8
601677 4.1343 1.10298 pythia8
601678 4.1379 1.10298 pythia8

#ANALYSISTO-1299
# ttW sherpa 2.2.12, 0L, 1L, >=2L
700578 0.129914 1.0 sherpa2210
700579 0.241235 1.0 sherpa2210
700706 0.277440 1.0 sherpa2210

#ANALYSISTO-1299
# ttZ sherpa 2.2.12 2L, 3L, 4L
700757 0.0383159 1.0 sherpa2210
700758 0.0429128 1.0 sherpa2210
700759 0.0294619 1.0 sherpa2210

# ANALYSISTO-1345
# W(->e nu)+jets, mW>105GeV, sherpa 2.2.12
700627  1.944   1.0 sherpa2210
700628  23.989  1.0 sherpa2210
700629  133.783 1.0 sherpa2210
# W(->mu nu)+jets, mW>105GeV, sherpa 2.2.12
700630  1.899   1.0 sherpa2210
700631  24.001  1.0 sherpa2210
700632  133.857 1.0 sherpa2210
# W(->tau nu)+jets, mW>105GeV, sherpa 2.2.12
700633  1.927   1.0 sherpa2210
700634  24.013  1.0 sherpa2210
700635  133.827 1.0 sherpa2210
# Z(ee)+jets, mZ>105GeV, sherpa 2.2.12
700636  1.458   1.0 sherpa2210
700637  7.473   1.0 sherpa2210
700638  46.869  1.0 sherpa2210
# Z(mumu)+jets, mZ>105GeV, sherpa 2.2.12
700639  1.424   1.0 sherpa2210
700640  7.453   1.0 sherpa2210
700641  46.877  1.0 sherpa2210
# Z(tautau)+jets, mZ>105GeV, sherpa 2.2.12
700642  1.420   1.0 sherpa2210
700643  7.412   1.0 sherpa2210
700644  46.787  1.0 sherpa2210

# W' and Z' samples
# ANALYSISTO-1352
800025  117.44  1   pythia8
801975  0.030435    1   pythia8
801976  1.2465  1   pythia8
801977  0.00040843  1   pythia8
801978  0.011409    1   pythia8
801979  2.536   1   pythia8
